word,meaning,mnemonics
Abase,lower; degrade; humiliate; make humble; make (oneself) lose self respect,"abase-abe(a slang used to degrade a person)+shhh(se)usually an attempt to degrade a person's
opinion..overall goes to humiliate a person....
"
Abash,embarrass,"What happens when u get a bash? (bashing)....u get embarrassed.
"
Abate,To reduce in amount; Put an end to; subside or moderate,"ab+ate , conc on ate, if u ate (spent) all ur money , ur property comes to an end (abate)
"
Abbreviate,shorten,"abbreviate has root brev (brief) in it; brev (brief) means in short.
Hence meaning of abbreviate is to shorten something.
"
Abdicate,"renounce; give up (position, right, or responsibility)","ab (root ab means away as in abandon) + dic (dictatorship) + ate (to eat and hence reduce) : means to give
away (or reduce) dictatorship and hence to give-up power.
"
Aberrant,abnormal or deviant,"ab (away) + err (error) + ant : focus on ERR and ANT. Ants normally move together in a queue. imagine all
these ants moving randomly like a group of honey bees. That would be abnormal behaviour.
"
Aberration,deviation from the normal; mental disorder,"sounds like abortion which is not normal delivery.
"
Abet,assist usually in doing something wrong; encourage,"a+bet a bet generally assists you to do something wrong
"
Abeyance,suspended action,"it seemingly sounds like ab+yawns.... so, think of something like 'students started yawning and so the
teacher gave them "
Abhor,detest; hate,"abhor sounds like ""a whore"" and we generally hate a whore....so to hate someone is abhoring that person
"
Abide,dwell; abide by: comply with; put up with; tolerate;,"bide in abide sounds like bind(something that binds you).....so abid means that fails to bind you from your heart..but you merely have to tolerate
"
Abject,(of a condition) wretched; as low as possible; lacking pride; very humble; showing lack of self-respect;,"Abject sounds like REJECT. Poor people are like REJECTED (Abject) people in the society.
"
Abjure,renounce upon oath,"abjure ~ ab (away) + jure (jury). He abjured (rejected, moved away from) her earlier statements in front of
jury.
"
Ablution,washing,"ablution ~ a + blue + solution; just imagine some blue color solution used for washing clothes.
"
Abnegation,renunciation; self-sacrifice; self-abnegation,"Ab-negate ~ relate negate to negative and ab to away. It implies subtracting something. Renouncing some important aspect of your life means sacrificing something. abnegate: ab+nahi+get; meaning giving up something
"
Abode,dwelling place; home,"abode sounds jus like aboard= a+board... boarding refers to living room or place
"
Abolish,"cancel; put an end to, get rid of.","a + polish (bolish): a polish puts an end to the dullness of shoes.
"
Abominable,detestable; extremely unpleasant,"AVOMIN ""(pretty famous drug) given wen u feel a vomiting sensation (which is an unpleasant
feeling)..Associate avomin to abomin...
"
Abominate,loathe; hate,"omi here sounds like omit, we omit the things we hate
"
Aboriginal,being the first of its kind in a region; primitive; native; indigenous; N. aborigine,"A+B+Origin+all : A-B are origin(initials) of all English alphabets. i.e. first of its kind
"
Abortive,unsuccessful; fruitless,"Relate it to abort..things usually gets aborted when it seems that it would be unsuccessful or fruitless
"
Abrasive,"rubbing away; tending to grind down, harsh","abrasive..it sounds like aggressive,which means harsh behavior
"
Abridge,condense or shorten,"a+bridge : bridges can shorten the transportation time..
"
Abrogate,"abolish, cancel, annul","Imagine a boy is making signs to a girl standing in front of her GATE,seeing that her BRO comes & get rid of
the boy (abolish)
"
Abscission,cutting off; separation,"ab + scission = scissor scissor separates two things by cutting them ,so separation
"
Abscond,To leave secretly,"Abscond = ab + scond. .Absent in a second.. When you will absent in a second? =when u STEAL OFF &
HIDE, or when u DEPART secretly.
"
Absolute,complete; totally unlimited; having complete power; certain; not relative;,"""solute"" sounds like salute and we use to salute people certainly having complete power.
"
Absolve,pardon (an offense),"ab -solve . so you solved a dispute between you and your friend , how did you solve it by forgiving and
pardoning him/her .
"
Abstain,refrain; choose not to do something; intentionally not use one's vote;,"ab+stain...we tend to stay away from stain....
"
Abstemious,sparing in eating and drinking; temperate,"abs (abs) + stemious (stamina): To build stamina or six pack abs, you have to eat and drink carefully.
"
Abstinence,"restraint from pleasant things, esp. eating or drinking;","ab+stinence..(looks like STRINGENC(y)....MEANS sticking to the rules)...so your doctor has asked you to stick
to the rule of eating only bread ,if you want to reduce your belly.
"
Abstract,theoretical; not concrete; nonrepresentational,"abstract: sounds close to extract....and you cant extract anything from an abstract philosophical speech or
passage.
"
Abstruse,obscure; profound; difficult to understand,"It contains ""ab....use"". ab generally stands for negative sense and so 'ab+ use' can be taken as difficult to use. A word will be difficult to use if it is difficult to understand. AB stress nahi doge or brain USE(last "
Abusive,coarsely insulting; physically harmful,abuse+eve…
Abut,border upon; adjoin,"Look at your BUTT (Dont take it offensively).Its like two pieces of flesh together marked by a boundary in
between them ..Thats abut .
"
Abysmal,bottomless,a+bys(take dis as 
Abyss,"enormous chasm; vast bottomless pit, an extremely deep hole.",A+bys....(this mnemonic is in hindi...ek 
Academic,related to a school; not practical or directly useful,"academy+ic (is) = something is related to academy
"
Accede,agree,ac+cede( means to yield)..so accede means to yield to somebody’
Accelerate,move faster,acc (acount)+ ele (element i.e. interest) + rate grows faster…
Accessible,easy to approach; obtainable,"access+able = by ACCESSING interner you will be ABLE to access online coaching.
"
Accessory,additional object; useful but not essential thing,"access(EXCESS)+ory(ornaments)..SO you have got excess of ornaments ,which are not very essential for
you,as your clothes,then why do you buy this?
"
Acclaim,applaud; praise; greet with great approval; announce with great approval;,"A+claim..imagine you have claimed to a news channel that you have designed a super computer ,so every
where people are praising you for your great invention
"
Acclimate,adjust to climate or environment; adapt,"ac+climate : according to the climate; You have to adapt yourself according to the climate change.
"
Acclivity,sharp upslope of a hill; OP. declivity,"if u knwo that cliff is A steep high face of rock, then its easy to remember
"
Accolade,award of merit; strong praise and approval,"it sounds like chocolate. parents accolade if kids do home work
properly
"
Accommodate,oblige or help someone; adjust or bring into harmony; adapt; make enough space for;,"you accommodate someone when you provide accommodation, so you are helping him/her.
"
Accomplice,partner in crime,"accompany + police; so accompany police implies helping police in reducing crime ; accomplice means
opposite of this : partner in crime.
"
Accord,agreement,"sounds like ACC(ACCORDING)+cord(record)...well ACCORDING TO our RECORDS we are in agreement with
our investors ,as where to invest their money.
"
Accost,approach and speak first to a person,"accost ~ sounds like at any cost. I will approach first and speak to her at any cost.
"
Accooutre,equip; N. accoutrement,"couture means dress ,accoutre means furnish with dress or equipment;to equip or to attire
"
Accretion,growth or increase in size by gradual addition; growth; increase; increase by natural growth;,"ACCRETION sounds like secretion which gives an idea of growth in size.
"
Accrue,come to one as a gain; accumulate over time; come about by addition;,"sounds like AKDU(hindi...means haughty)....so a person becomes akdu when he gains a lot
"
